gene,p_value,response_mean,non_response_mean,DE.r.nr.,FDR,response_variance,non_response_variance,Checkpoint,cancer
CNOT6L,0.177582659369124,4.81505305191402,4.58575147795276,0.229301573961261,0.644784207780108,0.334994573690736,0.371512201682899,PD-1,Melanoma
AKNAD1,0.778846621469878,0.364123317715843,0.408435708445541,-0.044312390729698,0.943378736233577,0.258541491166928,0.344507136460599,PD-1,Melanoma
SERPINI2,0.165671665762258,0.341680362261736,0.185928700012869,0.155751662248867,0.641639067776092,0.232376103105526,0.113733382331296,PD-1,Melanoma
SMARCD1,0.595690220391415,5.15325153107634,5.2670624363032,-0.113810905226863,0.888198638540032,0.494978478466919,0.625156374620701,PD-1,Melanoma
GALNT8,0.119979827455158,0.324955114301329,0.145403745314767,0.179551368986562,0.600679493877126,0.375866965974575,0.04605700949685,PD-1,Melanoma
C4orf33,0.548568162258627,2.06027629682038,1.90441288129552,0.155863415524856,0.873340936708538,1.07498035394061,0.721389572494952,PD-1,Melanoma
ZNF516,0.095415050359954,2.77054625639623,3.09493793422353,-0.324391677827299,0.560654465760112,0.491870836076079,0.449418453092761,PD-1,Melanoma
ACVR1,0.849819711237865,4.04701231014957,4.09043875040027,-0.043426440250701,0.965889586896046,0.426124399065653,0.795280673215799,PD-1,Melanoma
FAM98A,0.601038270989044,5.52197239974304,5.43361947976479,0.088352919978249,0.887576420323868,0.476669577936472,0.293250762408245,PD-1,Melanoma
SLC17A9,0.705291261780758,2.31284091268847,2.48513104673853,-0.172290134050056,0.917057345871179,2.47958256640737,2.68769420559445,PD-1,Melanoma
CTNNA2,0.042473027296254,1.46910509253313,0.826481388346356,0.642623704186778,0.486150375632586,1.72489502091298,0.931654409094697,PD-1,Melanoma
CYC1,0.459875571432154,5.30444461783474,5.13800289513495,0.166441722699787,0.829500225213592,0.215685754162435,0.871106737103911,PD-1,Melanoma
NIPBL,0.484656532580631,7.00593461786166,6.86893633886544,0.136998278996217,0.845471650887117,0.847130606331227,0.278401009673425,PD-1,Melanoma
LRIG3,0.058574935839408,3.21071212834798,3.81555894846187,-0.604846820113881,0.516768560027331,1.29645895120642,1.21781552856422,PD-1,Melanoma
MINPP1,0.556281012027513,3.23621303760075,3.1076670385382,0.128545999062542,0.876555392033118,0.337595163385014,0.746350529388529,PD-1,Melanoma
KIR3DL1,0.974856638468166,0.098506415687971,0.095804807402126,0.002701608285845,0.99720385044634,0.042840663619045,0.120459143667889,PD-1,Melanoma
USP24,0.19084180960257,5.29814251009385,5.5159276942789,-0.21778518418505,0.652891035295904,0.200753020718241,0.423771640711026,PD-1,Melanoma
EPCAM,0.474742186314538,2.27574817059975,1.84080542511155,0.434942745488195,0.839110902217258,7.97938405694414,2.78258747212862,PD-1,Melanoma
TAL1,0.566840762639123,0.302253165559132,0.249809754092323,0.05244341146681,0.881021054096851,0.141064017897467,0.085452856249311,PD-1,Melanoma
HSPBP1,0.78475875315935,2.74498557413195,2.67867000059961,0.066315573532346,0.941649337871255,0.545814411055267,0.852809199966539,PD-1,Melanoma
HEG1,0.731335355559346,3.81657559549633,3.74030748309289,0.076268112403438,0.924756287378737,0.68423839523269,0.586268465529591,PD-1,Melanoma
RRAGC,0.806971883900102,3.48739517006393,3.42082140393712,0.066573766126802,0.951614871899048,1.14183487365235,0.820146012758447,PD-1,Melanoma
REV3L,0.756887989144455,6.511997482884,6.43747132880372,0.074526154080277,0.934800689360521,0.800242651645255,0.690798027053449,PD-1,Melanoma
PPIH,0.266484694248733,4.10706803806464,3.74200731862394,0.365060719440698,0.717853345224715,1.17271666865316,1.44107154824303,PD-1,Melanoma
PGAP1,0.839259103787334,3.93149791945899,3.98830422424952,-0.056806304790529,0.963130369199106,0.868639282540721,1.05538288665268,PD-1,Melanoma
CD1C,0.786710083894069,1.45655846419133,1.56029688282075,-0.103738418629426,0.942521536307331,1.61971643962263,1.98158154708363,PD-1,Melanoma
DLGAP2,0.361376300230159,0.093797875757861,0.179582156936438,-0.085784281178577,0.774845145131379,0.030624201381886,0.155115579275145,PD-1,Melanoma
KLF4,0.115729903294139,3.18383294490518,3.83787026521786,-0.654037320312676,0.592899121867976,1.12424343944867,2.69033048172828,PD-1,Melanoma
XYLT1,0.266635976913863,2.5827181198818,2.9813782558704,-0.398660135988604,0.717633018284777,1.60273939930348,1.60602320186704,PD-1,Melanoma
PHTF2,0.088160098122924,4.8941404811303,4.44132095430873,0.452819526821567,0.559680293031926,0.220965744142001,1.22449275575561,PD-1,Melanoma
DBF4,0.475541009613111,4.19550130995293,4.01079397392655,0.184707336026387,0.839558926948835,0.769587540999303,0.880689704568746,PD-1,Melanoma
MUC4,0.518144821165875,1.89919417617187,1.59712452843379,0.302069647738082,0.866576808457213,2.42093192314075,2.92452544578533,PD-1,Melanoma
PRKACA,0.207818884423343,5.12307965521594,4.91136193298614,0.211717722229808,0.663770067572067,0.284671389963726,0.387842441363321,PD-1,Melanoma
RPAP1,0.331057234733749,3.31572146423458,3.5389453122921,-0.223223848057519,0.765259178487397,0.848520181259954,0.553107388235082,PD-1,Melanoma
UNC13A,0.203207656324025,0.529727054017609,0.832571538537882,-0.302844484520273,0.664199972209843,0.806830901839114,0.645297367469577,PD-1,Melanoma
CCDC71,0.959431448992844,3.23235502804795,3.2243833836239,0.007971644424048,0.991970930641024,0.336891869894365,0.294403447436152,PD-1,Melanoma
RAD51C,0.137599892593362,5.07266255888246,4.55254843526126,0.520114123621196,0.618496451525493,0.673262218990353,1.98515878257224,PD-1,Melanoma
HSF4,0.623905895612751,6.99125920838855,6.8175362012699,0.173723007118647,0.897247198781719,1.8595718600357,1.422293162972,PD-1,Melanoma
GLO1,0.608301719364718,4.5016662989363,4.36154095368779,0.140125345248508,0.890190586465764,1.13256845387606,0.832633426325426,PD-1,Melanoma
PNPLA4,0.402791807085806,3.29835422354958,3.00592805431539,0.292426169234196,0.803756302020217,1.26457375436809,1.67834179590496,PD-1,Melanoma
MYO1B,0.978393214404446,5.8307169829841,5.83733622601062,-0.00661924302652,0.998499405751173,1.08751941006999,0.566199830017271,PD-1,Melanoma
PTK2B,0.683096116790415,4.05279210325404,3.94280769587776,0.109984407376284,0.909711480794847,1.07304326682777,0.824568736961447,PD-1,Melanoma
CCKBR,0.516477027733212,0.079236371756755,0.149893352349145,-0.07065698059239,0.865197371267987,0.07551711948952,0.189968131393887,PD-1,Melanoma
CARD6,0.389924160495411,2.24757231149111,2.05139834698736,0.196173964503748,0.795083768321438,0.479215748342145,0.748247938770508,PD-1,Melanoma
