MP5	MP4	MP2	MP1	MP3	MP6	cancer	pop	depmapID
NA	NA	-2.39962236709286	-0.897694907456113	-1.76965805802532	-2.54620588709818	STAD	EAA	ACH-000110
NA	-2.08716875673949	NA	-1.22802854733015	-1.01880399100068	-2.71707064297359	BRCA	EA	ACH-000111
NA	-3.61165395834159	NA	-1.032860222694	-1.68193172107343	-2.31312739065261	PRAD	EA	ACH-000115
NA	NA	-2.04232657119744	-1.00578065196618	-1.69286649416072	-4.68901772940663	OV	EA	ACH-000116
-4.89780098829683	-1.85109797837349	NA	-1.18116678631972	-2.0084525263249	-4.4739640506234	BRCA	EA	ACH-000117
NA	-1.85224381772902	-0.990005513855633	-0.648168969347498	-1.38290213822319	-2.85634523735652	LUAD	EA	ACH-000121
NA	-0.984018660395483	-2.399063445203	-0.977817937651692	-0.937766364378876	-4.39379540458898	OV	EA	ACH-000123
NA	NA	-2.55852478670292	-1.11686945511703	-1.68964873282993	-4.46207270855756	GBM	EAA	ACH-000126
-3.2732897556848	-1.67796247218325	-0.983616586579675	-1.43403618893161	-1.49340634947808	-3.63460079476846	KIRC	NA	ACH-000127
NA	-2.75541846134524	-1.68801764440795	-0.609317579728812	-2.92516722316174	-3.03012754757626	LUAD	EA	ACH-000131
NA	NA	-2.54802171164127	-1.59058405217666	-1.5859245282494	-2.3485530077885	OV	EAA	ACH-000132
NA	-2.06262036122617	-2.4536512060071	-0.696021497276834	-1.2151290382436	-3.61374369029581	GBM	EA	ACH-000137
NA	-4.37636584065627	-1.72845222484569	-1.09786674183184	-1.74534009763587	-2.46610102374389	STAD	EAA	ACH-000144
-2.69938396842404	-2.77895632582313	-0.957218711216589	-1.40360254141711	-1.21845488984547	-2.81942558109298	BRCA	EA	ACH-000147
NA	-4.18439819027196	-2.55751969840071	-1.52656117938627	-1.86313654849352	-3.2577149755554	BRCA	EA	ACH-000148
NA	-3.74106635917961	NA	-1.31603674343981	-1.20380281256653	-2.22748085445215	GBM	EA	ACH-000152
NA	-4.06550371931556	-2.77770653406797	-1.07218661720378	-1.62661382327678	-2.46386259867437	KIRC	EAA	ACH-000159
-2.74564075882914	NA	-2.25595757921109	-1.1386239460387	-0.794267450775906	-2.00191767588822	LUAD	EA	ACH-000161
NA	-3.37313375433214	NA	-0.908438164389794	-0.711484180362413	-2.73752473592658	THCA	NA	ACH-000163
NA	-3.23748305185645	-0.193342939383562	-0.499210973682173	-0.833704159269022	-1.60461826191532	PRAD	EA	ACH-000170
-3.05694864518653	-2.65663820128729	-3.6214686008318	-0.960760078588451	-2.42518965487167	NA	KIRC	EA	ACH-000171
NA	NA	-2.53434710607675	-0.738300265187338	-1.68445777292938	-1.97045596721906	UCEC	EAA	ACH-000173
-4.33008600014933	-3.6198604617933	-3.22523635442838	-0.976532654185597	-1.82867266405995	-3.82242771824402	THCA	EA	ACH-000174
-4.99422894374582	-3.26407111048488	NA	-2.18487158674423	-2.27903041622296	-2.74774348656278	PRAD	EA	ACH-000177
-3.54037400792965	-2.88827149559116	-2.44883362790611	-0.978911499076856	-1.12231956271389	-3.86601938916228	KIRC	EAA	ACH-000189
NA	-3.52820684452866	-1.30120884169794	-1.39319242932861	-1.53835524209832	-3.04655580296789	THCA	EA	ACH-000191
NA	-2.22544409812633	-2.6555494882954	-0.972547941031915	-1.2920363605938	-2.55639843234188	UCEC	EA	ACH-000192
NA	-2.82241417282245	-1.66978257534471	-1.46658633560188	-3.27411667746843	-3.29360235266997	BRCA	EA	ACH-000196
NA	-3.02579376559161	-3.01771528833721	-2.13981701709418	-3.37673429739992	-2.85081499896414	COAD	EA	ACH-000202
NA	-2.97332607891647	-2.2535760634183	-1.27139647444515	-1.71731015308869	-3.06727631994168	BRCA	EA	ACH-000212
NA	NA	-2.23997584090398	-1.08118155802961	-2.06011083025549	NA	COAD	EA	ACH-000214
NA	-1.68220617595075	NA	-0.64091380825383	-0.686476198958098	-1.93610097366649	EAC	NA	ACH-000216
NA	-2.13529677359647	-2.60412750326225	-0.847318226229307	-1.46038142243702	-2.23856876304061	LIHC	EAA	ACH-000217
-4.62413504079395	-3.3127390928067	-2.79599086389853	-1.29936470062683	-1.13708382586517	-3.10927204270689	LIHC	NA	ACH-000221
